scenario_id,collection,budget,graph,result_set_id,source_result_set_id,approach_id,approach_label,is_reference,seed,seed_count,generations,population_size,mutation_rate,reward,cost,explicit_reward,validated_reward,runtime_seconds,is_valid,validation_notes,computed_reward,computed_cost,unique_visited_nodes,route_hops
planar_weighted_small_budget030,planar_weighted_small,30,graph_057.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,153,27,,,0.00029845800600014627,True,,153,27,3,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_058.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,222,29,,,0.0003418329870328307,True,,222,29,3,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_059.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,242,28,,,0.0004037089820485562,True,,242,28,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_060.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,283,22,,,0.0005050000036135316,True,,283,22,5,10
planar_weighted_small_budget030,planar_weighted_small,30,graph_061.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,79,4,,,0.0002722919743973762,True,,79,4,1,2
planar_weighted_small_budget030,planar_weighted_small,30,graph_062.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,280,22,,,0.0003977919986937195,True,,280,22,4,7
planar_weighted_small_budget030,planar_weighted_small,30,graph_063.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,207,28,,,0.0003826660104095936,True,,207,28,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_064.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,220,30,,,0.0005546250031329691,True,,220,30,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_065.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,148,22,,,0.00033108401112258434,True,,148,22,2,4
planar_weighted_small_budget030,planar_weighted_small,30,graph_066.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,249,20,,,0.00039658398600295186,True,,249,20,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_067.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,199,26,,,0.00033216600422747433,True,,199,26,3,5
planar_weighted_small_budget030,planar_weighted_small,30,graph_068.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,320,25,,,0.0003622499934863299,True,,320,25,4,5
planar_weighted_small_budget030,planar_weighted_small,30,graph_069.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,245,22,,,0.00040129199624061584,True,,245,22,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_070.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,189,24,,,0.00034866700298152864,True,,189,24,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_071.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,156,26,,,0.0003319169918540865,True,,156,26,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_072.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002867500006686896,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_073.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0002626249915920198,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_074.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,116,24,,,0.00031029200181365013,True,,116,24,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_075.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,152,30,,,0.0005101249844301492,True,,152,30,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_076.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,264,30,,,0.0003595830057747662,True,,264,30,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_077.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,202,30,,,0.00034316600067541003,True,,202,30,4,7
planar_weighted_small_budget030,planar_weighted_small,30,graph_078.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,206,28,,,0.00043591699795797467,True,,206,28,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_079.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,174,28,,,0.00036004098365083337,True,,174,28,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_080.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,319,28,,,0.0005689999961759895,True,,319,28,6,12
planar_weighted_small_budget030,planar_weighted_small,30,graph_081.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,234,30,,,0.00039254198782145977,True,,234,30,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_082.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,0,0,,,0.0003475419944152236,True,,0,0,0,0
planar_weighted_small_budget030,planar_weighted_small,30,graph_083.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,129,24,,,0.0003047920181415975,True,,129,24,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_084.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,13,18,,,0.000240708002820611,True,,13,18,1,2
planar_weighted_small_budget030,planar_weighted_small,30,graph_085.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,33,27,,,0.00031383300665766,True,,33,27,2,3
planar_weighted_small_budget030,planar_weighted_small,30,graph_086.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,132,22,,,0.00034845800837501884,True,,132,22,4,8
planar_weighted_small_budget030,planar_weighted_small,30,graph_087.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,315,30,,,0.0004485839745029807,True,,315,30,6,10
planar_weighted_small_budget030,planar_weighted_small,30,graph_088.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,188,24,,,0.0003644170064944774,True,,188,24,3,6
planar_weighted_small_budget030,planar_weighted_small,30,graph_089.txt,greedy_planar_weighted_small_b030,greedy_planar_weighted_small_b030,greedy,Greedy Baseline,False,,,,,,246,29,,,0.0003812920185737312,True,,246,29,4,7
